# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   66       2.379533624011e-10       3.741159036596e-14      -5.424978267212e-13       1.893153587172e-16       2.846705659910e-11       3.295326212422e-12      -1.089347043720e-14 
   67       2.411157075200e-10       3.906339570937e-14      -5.962303887568e-13       1.951117647831e-16       2.748665150968e-11       3.197530196132e-12      -1.070635854620e-14 
   68       2.443064626849e-10       4.074710798793e-14      -6.516508716691e-13       2.009952527987e-16       2.654605781156e-11       3.103349484773e-12      -1.050999454869e-14 
   69       2.475267853669e-10       4.246190440334e-14      -7.087388481839e-13       2.069658699023e-16       2.564458811746e-11       3.012699202071e-12      -1.030949677021e-14 
   70       2.507780319646e-10       4.420705281345e-14      -7.674735299019e-13       2.130236842900e-16       2.478245013085e-11       2.925630230238e-12      -1.010663366383e-14 
   71       2.540611112936e-10       4.598178483335e-14      -8.278322716262e-13       2.191687782513e-16       2.395915886847e-11       2.842127987951e-12      -9.903290823143e-15 
   72       2.573764548816e-10       4.778529600385e-14      -8.897905766082e-13       2.254012488404e-16       2.317350084040e-11       2.762108963426e-12      -9.701473224638e-15 
   73       2.607239872623e-10       4.961674595995e-14      -9.533221017945e-13       2.317212085484e-16       2.242349823010e-11       2.685417247475e-12      -9.503307470051e-15 
   74       2.641030962703e-10       5.147525859930e-14      -1.018398663073e-12       2.381287859750e-16       2.170637307450e-11       2.611821066581e-12      -9.311044028715e-15 
   75       2.675126033354e-10       5.335992225065e-14      -1.084990240519e-12       2.446241265003e-16       2.101851144397e-11       2.541009315961e-12      -9.127059479919e-15 
   76       2.709513487489e-10       5.526972619787e-14      -1.153064589216e-12       2.512073855068e-16       2.035636108368e-11       2.472673732723e-12      -8.953545443638e-15 
   77       2.744201363433e-10       5.720335651604e-14      -1.222585978187e-12       2.578787051334e-16       1.971939249537e-11       2.406780378698e-12      -8.791504927713e-15 
   78       2.779200911126e-10       5.915936313817e-14      -1.293516229965e-12       2.646382344834e-16       1.910761525414e-11       2.343341595103e-12      -8.641576183327e-15 
   79       2.814520588823e-10       6.113621907864e-14      -1.365815091820e-12       2.714861372088e-16       1.852067604120e-11       2.282333071201e-12      -8.504325665417e-15 
   80       2.850165892138e-10       6.313231929651e-14      -1.439440232920e-12       2.784225920292e-16       1.795784196522e-11       2.223692133487e-12      -8.380243850322e-15 
   81       2.886139183098e-10       6.514597955898e-14      -1.514347241489e-12       2.854477932509e-16       1.741798388383e-11       2.167316034879e-12      -8.269741053425e-15 
   82       2.922439519189e-10       6.717543530472e-14      -1.590489621965e-12       2.925619512862e-16       1.689955972498e-11       2.113060243900e-12      -8.173143246798e-15 
   83       2.959062482408e-10       6.921884050730e-14      -1.667818792156e-12       2.997652931722e-16       1.640059780843e-11       2.060736733864e-12      -8.090687876849e-15 
   84       2.996003033505e-10       7.127433680063e-14      -1.746284606994e-12       3.070580595750e-16       1.591917635114e-11       2.010161003245e-12      -8.022250205868e-15 
   85       3.033264992838e-10       7.334027651204e-14      -1.825837035773e-12       3.144404940944e-16       1.545498985195e-11       1.961305840515e-12      -7.966479372615e-15 
   86       3.070852825123e-10       7.541503469135e-14      -1.906424759038e-12       3.219128531297e-16       1.500801300830e-11       1.914170032088e-12      -7.921510774820e-15 
   87       3.108768635649e-10       7.749694217979e-14      -1.987994672644e-12       3.294754096900e-16       1.457801940378e-11       1.868731018918e-12      -7.885214228177e-15 
   88       3.147012050166e-10       7.958428565427e-14      -2.070491893756e-12       3.371284538541e-16       1.416457316875e-11       1.824944004694e-12      -7.855185254975e-15 
   89       3.185580094783e-10       8.167530767164e-14      -2.153859766867e-12       3.448722932309e-16       1.376702064103e-11       1.782741064046e-12      -7.828736372735e-15 
   90       3.224467075861e-10       8.376820671295e-14      -2.238039869797e-12       3.527072534187e-16       1.338448202650e-11       1.742030250733e-12      -7.802888382842e-15 
   91       3.263664459903e-10       8.586113722769e-14      -2.322972019708e-12       3.606336784659e-16       1.301584305981e-11       1.702694705848e-12      -7.774361659183e-15 
