# DLM: Best estimate lensing noise spectra [l(l+1)/2pi] N_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:MV (DIAG)              3:TT-TT                  4:TE-TE                  5:EE-EE                  6:BB-BB                  7:EB-EB                  8:TB-TB              
   67       7.025657653505e-13       6.241693940945e-12       4.029237783763e-12       2.724234756326e-12                     -nan       1.700402498267e-12       1.672692147793e-11 
   68       6.832547255314e-13       6.066648976713e-12       3.927477746026e-12       2.652909141391e-12                     -nan       1.651187931114e-12       1.624383037242e-11 
   69       6.647175618638e-13       5.898613574772e-12       3.829849539654e-12       2.584461152835e-12                     -nan       1.603947304361e-12       1.578012494463e-11 
   70       6.469603023517e-13       5.737641002090e-12       3.736388529490e-12       2.518914483684e-12                     -nan       1.558694885790e-12       1.533594536929e-11 
   71       6.299744202306e-13       5.583653166946e-12       3.647051610103e-12       2.456238383007e-12                     -nan       1.515408203604e-12       1.491107093346e-11 
   72       6.137360734601e-13       5.436433760539e-12       3.561713093432e-12       2.396344806243e-12                     -nan       1.474026130944e-12       1.450490122024e-11 
   73       5.982053442175e-13       5.295621398611e-12       3.480160596442e-12       2.339085565527e-12                     -nan       1.434446970404e-12       1.411643729258e-11 
   74       5.833254783906e-13       5.160702763066e-12       3.402090928767e-12       2.284249480018e-12                     -nan       1.396526538538e-12       1.374426287699e-11 
   75       5.690221250712e-13       5.031005743584e-12       3.327105980360e-12       2.231559526229e-12                     -nan       1.360076250380e-12       1.338652554728e-11 
   76       5.552222138372e-13       4.905869835156e-12       3.254814425809e-12       2.180743420891e-12                     -nan       1.324910796719e-12       1.304140504695e-11 
   77       5.419162418869e-13       4.785208364474e-12       3.185167339164e-12       2.131766528410e-12                     -nan       1.291005447483e-12       1.270865844404e-11 
   78       5.291060163475e-13       4.669036804270e-12       3.118176593119e-12       2.084636445250e-12                     -nan       1.258364086606e-12       1.238832386650e-11 
   79       5.167856721013e-13       4.557301441315e-12       3.053812560660e-12       2.039332013100e-12                     -nan       1.226971280015e-12       1.208024967589e-11 
   80       5.049413139676e-13       4.449876152815e-12       2.992002172569e-12       1.995801974989e-12                     -nan       1.196791377077e-12       1.178408564034e-11 
