# Matter power spectrum P(k) at redshift z=0
# for k=1.04554e-05 to 125.152 h/Mpc,
# number of wavenumbers equal to 775
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.605593509919e-02       2.307926770735e+04 
       2.619251533895e-02       2.300944743698e+04 
       2.632926861798e-02       2.293922756167e+04 
       2.646619878055e-02       2.286868899717e+04 
       2.660330976828e-02       2.279770165485e+04 
       2.674060562296e-02       2.272640528391e+04 
       2.687809048943e-02       2.265471860857e+04 
       2.701576861864e-02       2.258259694944e+04 
       2.715364437069e-02       2.251024614883e+04 
       2.729172221811e-02       2.243748907487e+04 
       2.743000674916e-02       2.236442980047e+04 
       2.756850267136e-02       2.229112575134e+04 
       2.770721481501e-02       2.221746674626e+04 
       2.784614813697e-02       2.214351291935e+04 
       2.798530772452e-02       2.206934476690e+04 
       2.812469879934e-02       2.199485373796e+04 
       2.826432672172e-02       2.192014589965e+04 
       2.840419699487e-02       2.184505597212e+04 
       2.854431526940e-02       2.176985752816e+04 
       2.868468734800e-02       2.169447802844e+04 
       2.882531919028e-02       2.161874304873e+04 
       2.896621691784e-02       2.154284838879e+04 
       2.910738681949e-02       2.146679843086e+04 
       2.924883535668e-02       2.139053809372e+04 
       2.939056916924e-02       2.131409680719e+04 
       2.953259508122e-02       2.123744242552e+04 
       2.967492010707e-02       2.116062865434e+04 
       2.981755145804e-02       2.108363526566e+04 
       2.996049654883e-02       2.100654544049e+04 
       3.010376300459e-02       2.092926334313e+04 
       3.024735866810e-02       2.085186653076e+04 
       3.039129160738e-02       2.077438756363e+04 
       3.053557012355e-02       2.069666593985e+04 
       3.068020275906e-02       2.061889114392e+04 
       3.082519830628e-02       2.054108780939e+04 
       3.097056581649e-02       2.046316062977e+04 
       3.111631460922e-02       2.038505424715e+04 
       3.126245428206e-02       2.030686681862e+04 
       3.140899472090e-02       2.022865467587e+04 
       3.155594611067e-02       2.015039660224e+04 
       3.170331894650e-02       2.007199995936e+04 
       3.185112404549e-02       1.999353744886e+04 
       3.199937255901e-02       1.991501780476e+04 
       3.214807598556e-02       1.983653852233e+04 
       3.229724618426e-02       1.975796504398e+04 
       3.244689538904e-02       1.967931737663e+04 
       3.259703622346e-02       1.960070387081e+04 
       3.274768171634e-02       1.952199103320e+04 
       3.289884531807e-02       1.944331950382e+04 
       3.305054091787e-02       1.936456355575e+04 
       3.320278286186e-02       1.928588623258e+04 
       3.335558597206e-02       1.920709972094e+04 
       3.350896556639e-02       1.912830914183e+04 
       3.366293747976e-02       1.904953445993e+04 
       3.381751808626e-02       1.897078460603e+04 
       3.397272432252e-02       1.889204367009e+04 
       3.412857371238e-02       1.881329975172e+04 
       3.428508439290e-02       1.873458210778e+04 
       3.444227514183e-02       1.865579127089e+04 
       3.460016540661e-02       1.857714740300e+04 
       3.475877533503e-02       1.849843936604e+04 
       3.491812580768e-02       1.841975512210e+04 
       3.507823847218e-02       1.834116587291e+04 
       3.523913577962e-02       1.826258342864e+04 
       3.540084102296e-02       1.818396206190e+04 
       3.556337837790e-02       1.810543025382e+04 
       3.572677294615e-02       1.802692530717e+04 
       3.589105080140e-02       1.794842661076e+04 
       3.605623903822e-02       1.786993018885e+04 
       3.622236582389e-02       1.779156440917e+04 
       3.638946045378e-02       1.771319230345e+04 
       3.655755341008e-02       1.763490059772e+04 
       3.672667642456e-02       1.755651936395e+04 
       3.689686254544e-02       1.747828584914e+04 
       3.706814620872e-02       1.740009282715e+04 
       3.724056331447e-02       1.732190605989e+04 
       3.741415130834e-02       1.724375679594e+04 
       3.758894926873e-02       1.716570880780e+04 
       3.776499800030e-02       1.708763840829e+04 
       3.794234013407e-02       1.700960732427e+04 
       3.812102023489e-02       1.693154031027e+04 
       3.830108491690e-02       1.685363117357e+04 
       3.848258296758e-02       1.677569184000e+04 
       3.866556548137e-02       1.669776274411e+04 
       3.885008600350e-02       1.661988170166e+04 
       3.903620068524e-02       1.654204723854e+04 
       3.922396845142e-02       1.646421205172e+04 
       3.941345118157e-02       1.638642466550e+04 
       3.960471390592e-02       1.630860769808e+04 
       3.979782501781e-02       1.623079820847e+04 
       3.999285650401e-02       1.615300851781e+04 
       4.018988419509e-02       1.607521729448e+04 
       4.038898803751e-02       1.599740462456e+04 
       4.059025239017e-02       1.591958079331e+04 
       4.079376634768e-02       1.584179734694e+04 
       4.099962409355e-02       1.576393697366e+04 
       4.120792528645e-02       1.568610197131e+04 
       4.141877548342e-02       1.560814001145e+04 
       4.163228660422e-02       1.553019383392e+04 
       4.184857744163e-02       1.545217772841e+04 
       4.206777422335e-02       1.537412884543e+04 
       4.229001123158e-02       1.529590671687e+04 
       4.251543148761e-02       1.521765914582e+04 
       4.274418750958e-02       1.513931392674e+04 
       4.297644215289e-02       1.506089548043e+04 
       4.321236954412e-02       1.498228704537e+04 
       4.345215612105e-02       1.490355416098e+04 
       4.369600179336e-02       1.482470286644e+04 
       4.394412124082e-02       1.474566803250e+04 
       4.419674536882e-02       1.466647540374e+04 
       4.445412294400e-02       1.458705125326e+04 
       4.471652243717e-02       1.450742775638e+04 
       4.498423410498e-02       1.442752474447e+04 
       4.525757234769e-02       1.434741677782e+04 
       4.553687838742e-02       1.426700273470e+04 
       4.582252331899e-02       1.418626426637e+04 
       4.611491159617e-02       1.410513695064e+04 
       4.641448502793e-02       1.402368973229e+04 
       4.672172737455e-02       1.394182180387e+04 
       4.703716965181e-02       1.385951819541e+04 
       4.736139627436e-02       1.377667005861e+04 
       4.769505219748e-02       1.369335135878e+04 
       4.803885125179e-02       1.360946428799e+04 
       4.839358590922e-02       1.352484363146e+04 
       4.876013877390e-02       1.343959875754e+04 
       4.913949616109e-02       1.335361442740e+04 
       4.953276421495e-02       1.326671493811e+04 
       4.994118812792e-02       1.317892929925e+04 
       5.036617516574e-02       1.309014547328e+04 
       5.080932238336e-02       1.300021776820e+04 
       5.127245014722e-02       1.290906187138e+04 
       5.175764287244e-02       1.281645691007e+04 
       5.226729875565e-02       1.272227106010e+04 
       5.280419075046e-02       1.262634324848e+04 
       5.337154160975e-02       1.252837442978e+04 
       5.397311651110e-02       1.242809065665e+04 
       5.461333756960e-02       1.232512374440e+04 
       5.529742534633e-02       1.221907066413e+04 
       5.603157307611e-02       1.210936564439e+04 
       5.682315930115e-02       1.199529171017e+04 
       5.768100294444e-02       1.187595822738e+04 
       5.861565968203e-02       1.175019168104e+04 
       5.963974621181e-02       1.161642177018e+04 
       6.076825345198e-02       1.147265574627e+04 
       6.201876121510e-02       1.131605034502e+04 
       6.341138403731e-02       1.114298760884e+04 
       6.496815706263e-02       1.094859150767e+04 
       6.671144593119e-02       1.072674769006e+04 
       6.866096323388e-02       1.047021094311e+04 
       7.082935838939e-02       1.017144146663e+04 
       7.321735670189e-02       9.824076473911e+03 
       7.581070801708e-02       9.426048080580e+03 
       7.858137265954e-02       8.981223466244e+03 
       8.149321784095e-02       8.500725343866e+03 
       8.450946219057e-02       8.001223853231e+03 
       8.759834558202e-02       7.502471858350e+03 
       9.073550059165e-02       7.023404214720e+03 
       9.390371434575e-02       6.579961928446e+03 
       9.709148588457e-02       6.183392890081e+03 
       1.002914042311e-01       5.839758834028e+03 
       1.034988025655e-01       5.550339055229e+03 
       1.067107839780e-01       5.312009392677e+03 
       1.099255660037e-01       5.118539151781e+03 
       1.131420577213e-01       4.961319982306e+03 
       1.163595935432e-01       4.830461731683e+03 
       1.195777680848e-01       4.715660744635e+03 
       1.227963346335e-01       4.607092882784e+03 
       1.260151430522e-01       4.496406603077e+03 
       1.292341019230e-01       4.377132274210e+03 
       1.324531555115e-01       4.245533106367e+03 
