# dimensionless DLM: total delensed [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   69       2.586635955491e-10       4.419565975068e-14      -7.378752594550e-13       5.224125652392e-17       2.676975039017e-11       3.140178739697e-12       7.687183751339e+02 
   70       2.620509976743e-10       4.601479748751e-14      -7.992082139403e-13       5.375613549089e-17       2.586758198691e-11       3.049818523461e-12       7.910000671667e+02 
   71       2.654711100002e-10       4.786486810830e-14      -8.622371957618e-13       5.529261001016e-17       2.500609664386e-11       2.963442694962e-12       8.136000690858e+02 
   72       2.689247902670e-10       4.974502566855e-14      -9.269394179210e-13       5.685067574705e-17       2.418402248832e-11       2.880877974886e-12       8.365183808910e+02 
   73       2.724124128005e-10       5.165438562995e-14      -9.932904857242e-13       5.843032831346e-17       2.339928769442e-11       2.801864268575e-12       8.597550025824e+02 
   74       2.759338390565e-10       5.359202499506e-14      -1.061264413441e-12       6.003156327190e-17       2.264898299928e-11       2.726050643897e-12       8.833099341600e+02 
   75       2.794883881656e-10       5.555698244197e-14      -1.130833640963e-12       6.165437613955e-17       2.192932421906e-11       2.652991309125e-12       9.071831756238e+02 
   76       2.830753020435e-10       5.754819401974e-14      -1.201967525595e-12       6.329876248181e-17       2.123659177230e-11       2.582259543221e-12       9.313747269738e+02 
   77       2.866953037503e-10       5.956428639900e-14      -1.274627463087e-12       6.496471820391e-17       2.057022990353e-11       2.513822363026e-12       9.558845882099e+02 
   78       2.903492711120e-10       6.160374598916e-14      -1.348770903031e-12       6.665223932008e-17       1.993024714305e-11       2.447727188472e-12       9.807127593323e+02 
   79       2.940377483629e-10       6.366497886547e-14      -1.424352780422e-12       6.836132187447e-17       1.931627226981e-11       2.383988373856e-12       1.005859240341e+03 
   80       2.977609268326e-10       6.574630958240e-14      -1.501325501056e-12       7.009196194707e-17       1.872753686183e-11       2.322585604414e-12       1.031324031235e+03 
   81       3.015186256316e-10       6.784597998690e-14      -1.579638926911e-12       7.184415565954e-17       1.816285784660e-11       2.263462292914e-12       1.057107132016e+03 
   82       3.053102723380e-10       6.996214803174e-14      -1.659240361542e-12       7.361789918110e-17       1.762062005150e-11       2.206523976236e-12       1.083208542683e+03 
   83       3.091348836833e-10       7.209288658880e-14      -1.740074535472e-12       7.541318873442e-17       1.709875875421e-11       2.151636711962e-12       1.109628263237e+03 
   84       3.129914821278e-10       7.423625618097e-14      -1.822085356185e-12       7.723002060005e-17       1.659526159093e-11       2.098662230592e-12       1.136366293676e+03 
   85       3.168804672415e-10       7.639053963085e-14      -1.905221523461e-12       7.906839111770e-17       1.610980810572e-11       2.047573600103e-12       1.163422634002e+03 
   86       3.208024373152e-10       7.855404431697e-14      -1.989431822489e-12       8.092829669596e-17       1.564237127451e-11       1.998355885495e-12       1.190797284214e+03 
   87       3.247577618735e-10       8.072503176864e-14      -2.074663456849e-12       8.280973381952e-17       1.519271372125e-11       1.950970126868e-12       1.218490244312e+03 
   88       3.287465696874e-10       8.290171772164e-14      -2.160862063564e-12       8.471269905497e-17       1.476037899705e-11       1.905352353746e-12       1.246501514296e+03 
   89       3.327687367858e-10       8.508227217379e-14      -2.247971728143e-12       8.663718905670e-17       1.434468285927e-11       1.861412599408e-12       1.274831094166e+03 
