# DLM: Best estimate lensing noise spectra [l(l+1)/2pi] N_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:MV (DIAG)              3:TT-TT                  4:TE-TE                  5:EE-EE                  6:BB-BB                  7:EB-EB                  8:TB-TB              
   97       3.527444320301e-13       3.080028282890e-12       2.211401100139e-12       1.446721779503e-12                     -nan       8.058411911010e-13       7.943476512892e-12 
   98       3.463499425928e-13       3.021807716935e-12       2.178843514868e-12       1.423422294480e-12                     -nan       7.896488236466e-13       7.784704812354e-12 
   99       3.401618790950e-13       2.965461273809e-12       2.147413061993e-12       1.400901672602e-12                     -nan       7.739795321603e-13       7.631063911413e-12 
  100       3.341710240887e-13       2.910905352967e-12       2.117060532445e-12       1.379125463148e-12                     -nan       7.588100439615e-13       7.482325302356e-12 
  101       3.283655895756e-13       2.858033162602e-12       2.087722640453e-12       1.358049476926e-12                     -nan       7.441106927099e-13       7.338197700331e-12 
  102       3.227311326753e-13       2.806713959747e-12       2.059321559546e-12       1.337619465921e-12                     -nan       7.298452093629e-13       7.198324990658e-12 
  103       3.172504712937e-13       2.756792290382e-12       2.031764458550e-12       1.317770802947e-12                     -nan       7.159705131331e-13       7.062284176136e-12 
  104       3.119077732829e-13       2.708124898500e-12       2.004965860931e-12       1.298443957423e-12                     -nan       7.024468959764e-13       6.929685380900e-12 
  105       3.067016346599e-13       2.660698768343e-12       1.978919162082e-12       1.279633993571e-12                     -nan       6.892705931465e-13       6.800491668374e-12 
  106       3.016336190710e-13       2.614527685524e-12       1.953633952924e-12       1.261347192606e-12                     -nan       6.764452432148e-13       6.674738800382e-12 
  107       2.967042040563e-13       2.569615650217e-12       1.929113848658e-12       1.243585708711e-12                     -nan       6.639717937520e-13       6.552436118587e-12 
  108       2.919127425808e-13       2.525956531209e-12       1.905356275572e-12       1.226347422272e-12                     -nan       6.518484065008e-13       6.433565613301e-12 
  109       2.872574245654e-13       2.483533719947e-12       1.882352257846e-12       1.209625793112e-12                     -nan       6.400703625471e-13       6.318080992294e-12 
  110       2.827352384173e-13       2.442319784590e-12       1.860086204362e-12       1.193409713724e-12                     -nan       6.286299674925e-13       6.205906749602e-12 
  111       2.783419325613e-13       2.402276124055e-12       1.838535695511e-12       1.177683362507e-12                     -nan       6.175164566264e-13       6.096937234342e-12 
  112       2.740719769705e-13       2.363352622067e-12       1.817671269994e-12       1.162426057002e-12                     -nan       6.067159000978e-13       5.991035719517e-12 
  113       2.699185246972e-13       2.325487301211e-12       1.797456211637e-12       1.147612107121e-12                     -nan       5.962111080875e-13       5.888033470828e-12 
  114       2.658733734037e-13       2.288605976978e-12       1.777846336193e-12       1.133210668389e-12                     -nan       5.859815359802e-13       5.787728815483e-12 
  115       2.619269268932e-13       2.252621911813e-12       1.758789778150e-12       1.119185595170e-12                     -nan       5.760031895361e-13       5.689886211006e-12 
  116       2.580704305967e-13       2.217455961724e-12       1.740239285596e-12       1.105503929632e-12                     -nan       5.662541682131e-13       5.594290676657e-12 
  117       2.543030686204e-13       2.183100534558e-12       1.722191256443e-12       1.092162853276e-12                     -nan       5.567322624614e-13       5.500920586281e-12 
  118       2.506256613429e-13       2.149562794395e-12       1.704651070020e-12       1.079165751851e-12                     -nan       5.474393278140e-13       5.409794232966e-12 
  119       2.470384505021e-13       2.116844701809e-12       1.687620902195e-12       1.066513803188e-12                     -nan       5.383757936866e-13       5.320915909319e-12 
  120       2.435410808323e-13       2.084942849112e-12       1.671099622778e-12       1.054205906785e-12                     -nan       5.295406184007e-13       5.234275465783e-12 
  121       2.401325817005e-13       2.053848295591e-12       1.655082692918e-12       1.042238613399e-12                     -nan       5.209312442064e-13       5.149847868948e-12 
  122       2.368113487430e-13       2.023546402745e-12       1.639562062505e-12       1.030606054634e-12                     -nan       5.125435523061e-13       5.067592759857e-12 
  123       2.335751255023e-13       1.994016669525e-12       1.624526067569e-12       1.019299872532e-12                     -nan       5.043718178765e-13       4.987454012324e-12 
  124       2.304209850632e-13       1.965232567572e-12       1.609959327678e-12       1.008309149159e-12                     -nan       4.964086650929e-13       4.909359291240e-12 
  125       2.273453116897e-13       1.937161376459e-12       1.595842643341e-12       9.976203361989e-13                     -nan       4.886450221513e-13       4.833219610885e-12 
  126       2.243437824615e-13       1.909764018927e-12       1.582152893407e-12       9.872171845369e-13                     -nan       4.810700762917e-13       4.758928893244e-12 
  127       2.214113489103e-13       1.882994896123e-12       1.568862932463e-12       9.770806738531e-13                     -nan       4.736712288215e-13       4.686363526309e-12 
  128       2.185422186570e-13       1.856801722843e-12       1.555941488235e-12       9.671889422097e-13                     -nan       4.664340501381e-13       4.615381922400e-12 
  129       2.157311901010e-13       1.831137534212e-12       1.543360551842e-12       9.575223738867e-13                     -nan       4.593455724528e-13       4.545856848655e-12 
  130       2.129778610376e-13       1.805998544902e-12       1.531118683099e-12       9.480796434905e-13                     -nan       4.524046718937e-13       4.477777366663e-12 
  131       2.102828491774e-13       1.781390151084e-12       1.519220079841e-12       9.388633070348e-13                     -nan       4.456127456371e-13       4.411157293096e-12 
  132       2.076464718828e-13       1.757315054376e-12       1.507667265744e-12       9.298747682944e-13                     -nan       4.389704554133e-13       4.346003224801e-12 
  133       2.050687374860e-13       1.733773184173e-12       1.496461041339e-12       9.211142453053e-13                     -nan       4.324777064133e-13       4.282314331619e-12 
  134       2.025493366080e-13       1.710761619981e-12       1.485600435026e-12       9.125807368641e-13                     -nan       4.261336261952e-13       4.220082149204e-12 
  135       2.000876334770e-13       1.688274513749e-12       1.475082654094e-12       9.042719890275e-13                     -nan       4.199365435905e-13       4.159290371839e-12 
  136       1.976826572468e-13       1.666303012204e-12       1.464903035736e-12       8.961844616127e-13                     -nan       4.138839676106e-13       4.099914645250e-12 
  137       1.953330933154e-13       1.644835179184e-12       1.455054998061e-12       8.883132946961e-13                     -nan       4.079725663531e-13       4.041922359427e-12 
  138       1.930372746437e-13       1.623855917970e-12       1.445529991115e-12       8.806522751139e-13                     -nan       4.021981459085e-13       3.985272441440e-12 
  139       1.907931730738e-13       1.603346893622e-12       1.436317447895e-12       8.731938029614e-13                     -nan       3.965556292665e-13       3.929915148253e-12 
  140       1.885983906477e-13       1.583286455308e-12       1.427404735363e-12       8.659288580926e-13                     -nan       3.910390352220e-13       3.875791859545e-12 
  141       1.864501509256e-13       1.563649558642e-12       1.418777105466e-12       8.588469666201e-13                     -nan       3.856414572823e-13       3.822834870523e-12 
