# dimensionless DLM: total delensed [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   59       2.265617080762e-10       2.793115229498e-14      -2.230892347638e-13       3.804560548659e-17       3.900277071629e-11       4.327807016471e-12       5.606788727761e+05 
   60       2.296632239539e-10       2.938741662133e-14      -2.661760254074e-13       3.933616431989e-17       3.755301783291e-11       4.183397130810e-12       5.801758183248e+05 
   61       2.327880525537e-10       3.088432604960e-14      -3.111884054690e-13       4.064822361871e-17       3.616766162886e-11       4.045545381161e-12       6.000141946516e+05 
   62       2.359377161930e-10       3.242125554196e-14      -3.581177770346e-13       4.198177945437e-17       3.484534945152e-11       3.914091007967e-12       6.201942799669e+05 
   63       2.391147705754e-10       3.399739746591e-14      -4.069478290237e-13       4.333682787759e-17       3.358616367235e-11       3.789005227150e-12       6.407154538440e+05 
   64       2.423211982837e-10       3.561182922783e-14      -4.576584126909e-13       4.471336476902e-17       3.238874267717e-11       3.670105980174e-12       6.615769907967e+05 
   65       2.455583628193e-10       3.726350997786e-14      -5.102254635166e-13       4.611138583918e-17       3.125019860489e-11       3.557049271207e-12       6.827780571428e+05 
   66       2.488269626424e-10       3.895127731472e-14      -5.646209230968e-13       4.753088662835e-17       3.016603508623e-11       3.449320504282e-12       7.043177078678e+05 
   67       2.521269852118e-10       4.067384399051e-14      -6.208126610338e-13       4.897186250646e-17       2.913006498247e-11       3.346225820459e-12       7.261948834878e+05 
   68       2.554581947830e-10       4.242992620841e-14      -6.787678079424e-13       5.043430880768e-17       2.813606544892e-11       3.247074779360e-12       7.484089420430e+05 
   69       2.588218133123e-10       4.421866606894e-14      -7.384637133083e-13       5.191822126590e-17       2.718331643023e-11       3.151790751656e-12       7.709613872633e+05 
   70       2.622190991484e-10       4.603928919618e-14      -7.998790778621e-13       5.342359566769e-17       2.627204178865e-11       3.060409214138e-12       7.938544865486e+05 
   71       2.656508116801e-10       4.789098078770e-14      -8.629907478851e-13       5.495042772884e-17       2.540173412479e-11       2.972893647094e-12       8.170907771829e+05 
   72       2.691171790275e-10       4.977288568500e-14      -9.277737243410e-13       5.649871309765e-17       2.457111694921e-11       2.889131765186e-12       8.406730768832e+05 
   73       2.726178657329e-10       5.168410844388e-14      -9.942011720061e-13       5.806844735831e-17       2.377810685400e-11       2.808931748331e-12       8.646044943499e+05 
   74       2.761519404520e-10       5.362371340477e-14      -1.062244428601e-12       5.965962603426e-17       2.301977568439e-11       2.732018472578e-12       8.888884398156e+05 
   75       2.797178436444e-10       5.559072476318e-14      -1.131873013919e-12       6.127224459154e-17       2.229231271032e-11       2.658029740992e-12       9.135286355953e+05 
   76       2.833140602697e-10       5.758406663937e-14      -1.203054151548e-12       6.290629852713e-17       2.159197200525e-11       2.586610198585e-12       9.385282376407e+05 
   77       2.869413509129e-10       5.960237051528e-14      -1.275751213135e-12       6.456178364514e-17       2.091819765158e-11       2.517721180441e-12       9.638869919470e+05 
   78       2.906008707068e-10       6.164413264752e-14      -1.349925005696e-12       6.623869583732e-17       2.027100235265e-11       2.451380780671e-12       9.896035763609e+05 
   79       2.942934828579e-10       6.370776981161e-14      -1.425534233010e-12       6.793703100755e-17       1.965001544248e-11       2.387569443438e-12       1.015676436017e+06 
   80       2.980197407935e-10       6.579161814200e-14      -1.502535494759e-12       6.965678507694e-17       1.905446525985e-11       2.326228196931e-12       1.042103775660e+06 
   81       3.017798703104e-10       6.789393197207e-14      -1.580883285661e-12       7.139795398893e-17       1.848316152232e-11       2.267256887331e-12       1.068883551960e+06 
   82       3.055737517216e-10       7.001288267415e-14      -1.660529994607e-12       7.316053371440e-17       1.793447770035e-11       2.210512412785e-12       1.096013465840e+06 
