# dimensionless DLM: total delensed [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   52       2.056380477789e-10       1.888440018540e-14       2.570196818297e-14       3.164054777173e-17       5.092900403037e-11       5.547626984380e-12       1.154000211739e+01 
   53       2.085247859600e-10       2.005305066323e-14      -4.290630657747e-15       3.285831539345e-17       4.884460496800e-11       5.341258782648e-12       5.768554423504e+00 
   54       2.114388011579e-10       2.126258201140e-14      -3.613609198683e-14       3.409906801195e-17       4.687243826820e-11       5.145926585226e-12       8.685227624986e-03 
   55       2.143796323683e-10       2.251282806907e-14      -6.981178725926e-14       3.536280156003e-17       4.499839768767e-11       4.959943002054e-12      -2.916257963011e+00 
   56       2.173492191711e-10       2.380384720077e-14      -1.053270727449e-13       3.664951220883e-17       4.322027860646e-11       4.783077379748e-12      -3.118338203921e+00 
   57       2.203493573708e-10       2.513573521758e-14      -1.426996872787e-13       3.795919598940e-17       4.153709893165e-11       4.615300412995e-12      -1.627570182519e+00 
   58       2.233807022405e-10       2.650855605278e-14      -1.819470692888e-13       3.929184864945e-17       3.994503883841e-11       4.456309012812e-12       3.491594361954e-01 
   59       2.264426801430e-10       2.792234155442e-14      -2.230864307924e-13       4.064746564825e-17       3.843726548101e-11       4.305509151639e-12       1.419992523364e+00 
   60       2.295334001505e-10       2.937709127785e-14      -2.661348313905e-13       4.202604215152e-17       3.700375770372e-11       4.161998708451e-12       0.000000000000e+00 
   61       2.326507374778e-10       3.087266564022e-14      -3.111044513819e-13       4.342757318694e-17       3.563409018077e-11       4.024828888004e-12      -5.074685464547e+00 
   62       2.357960678977e-10       3.240843782833e-14      -3.579870038649e-13       4.485205416315e-17       3.432691265802e-11       3.893895857032e-12      -1.252506394277e+01 
   63       2.389712185392e-10       3.398356303399e-14      -4.067659391472e-13       4.629948045869e-17       3.308229705847e-11       3.769219714518e-12      -2.020956518562e+01 
   64       2.421773198575e-10       3.559707467766e-14      -4.574208600997e-13       4.776984727163e-17       3.189888603056e-11       3.650675426800e-12      -2.569482237425e+01 
   65       2.454147544352e-10       3.724788081736e-14      -5.099274438235e-13       4.926314961954e-17       3.077381155956e-11       3.537984511617e-12      -2.624402864955e+01 
   66       2.486831057841e-10       3.893476055770e-14      -5.642573633173e-13       5.077938233948e-17       2.970261357891e-11       3.430706722160e-12      -1.880529364174e+01 
   67       2.519811071459e-10       4.065636045889e-14      -6.203782091442e-13       5.231854008796e-17       2.867915858166e-11       3.328231731122e-12       0.000000000000e+00 
   68       2.553074404639e-10       4.241133662081e-14      -6.782571252774e-13       5.388061747583e-17       2.769727836546e-11       3.229938581316e-12       3.214909253242e+01 
   69       2.586634357352e-10       4.419882239391e-14      -7.378727472273e-13       5.546560950457e-17       2.675625378212e-11       3.135730143920e-12       7.260089558827e+01 
   70       2.620508291559e-10       4.601804942325e-14      -7.992055532868e-13       5.707351121876e-17       2.585630103544e-11       3.045592513989e-12       1.137904889770e+02 
   71       2.654709324180e-10       4.786821049094e-14      -8.622343807434e-13       5.870431758243e-17       2.499691313676e-11       2.959432872723e-12       1.472359035288e+02 
   72       2.689246032545e-10       4.974845965085e-14      -9.269364425382e-13       6.035802348243e-17       2.417682250957e-11       2.877075462218e-12       1.635052697430e+02 
   73       2.724122159839e-10       5.165791236327e-14      -9.932873439242e-13       6.203462373189e-17       2.339396359408e-11       2.798257560228e-12       1.521839664359e+02 
   74       2.759336320551e-10       5.359564562965e-14      -1.061261099126e-12       6.373411307367e-17       2.264543545179e-11       2.722625454912e-12       1.018417693896e+02 
   75       2.794881705917e-10       5.556069812727e-14      -1.130830147998e-12       6.545648618375e-17       2.192746437007e-11       2.649730419590e-12       0.000000000000e+00 
   76       2.830750735023e-10       5.755200590419e-14      -1.201963847806e-12       6.720173775921e-17       2.123634099208e-11       2.579143509832e-12      -1.594615890198e+02 
   77       2.866950638384e-10       5.956819562826e-14      -1.274623594224e-12       6.896986279297e-17       2.057151166074e-11       2.510833020433e-12      -3.524521933932e+02 
   78       2.903490194164e-10       6.160775370565e-14      -1.348766836758e-12       7.076085635560e-17       1.993298547536e-11       2.444848866266e-12      -5.442124130143e+02 
   79       2.940374844616e-10       6.366908620838e-14      -1.424348510324e-12       7.257471352036e-17       1.932039264592e-11       2.381208303236e-12      -6.962503453046e+02 
   80       2.977606502939e-10       6.575051768769e-14      -1.501321020636e-12       7.441142936831e-17       1.873296708108e-11       2.319894339577e-12      -7.662218787295e+02 
   81       3.015183360146e-10       6.785028998732e-14      -1.579634229596e-12       7.627099899351e-17       1.816952897621e-11       2.260854147157e-12      -7.078109863166e+02 
   82       3.053099691920e-10       6.996656105684e-14      -1.659235440685e-12       7.815341750818e-17       1.762846740134e-11       2.203997472778e-12      -4.706100191724e+02 
   83       3.091345665479e-10       7.209740376493e-14      -1.740069384353e-12       8.005868004783e-17       1.710772288923e-11       2.149195049482e-12       0.000000000000e+00 
   84       3.129911505334e-10       7.424087863159e-14      -1.822079968024e-12       8.198678177325e-17       1.660528822257e-11       2.096312664560e-12       7.332181120064e+02 
   85       3.168801207095e-10       7.639526847773e-14      -1.905215891468e-12       8.393771786537e-17       1.612084432435e-11       2.045323332743e-12       1.638023361821e+03 
   86       3.208020753587e-10       7.855888068066e-14      -1.989425939880e-12       8.591148353898e-17       1.565436490037e-11       1.996210892611e-12       2.582405421397e+03 
   87       3.247573839974e-10       8.072997676866e-14      -2.074657316856e-12       8.790807405093e-17       1.520561377794e-11       1.948935028437e-12       3.421343539092e+03 
   88       3.287461753880e-10       8.290677247662e-14      -2.160855659444e-12       8.992748470523e-17       1.477413620310e-11       1.903430280761e-12       3.996426229824e+03 
   89       3.327683255513e-10       8.508743780172e-14      -2.247965053191e-12       9.196971085815e-17       1.435925013785e-11       1.859605056961e-12       4.135470965233e+03 
   90       3.368234457782e-10       8.727009705906e-14      -2.335928047185e-12       9.403474792335e-17       1.396003755744e-11       1.817340641833e-12       3.652143863835e+03 
   91       3.409108706419e-10       8.945282893729e-14      -2.424685669111e-12       9.612259137697e-17       1.357533574755e-11       1.776490208161e-12       2.345579381178e+03 
   92       3.450296460098e-10       9.163366655426e-14      -2.514177440291e-12       9.823323676273e-17       1.320372860152e-11       1.736877827296e-12       0.000000000000e+00 
