# Intensity and polariztion noise spectra, DLM: Noise spectra for temperature and polarization
# for l=2 to 4500,
#    1:l                      2:Nl (temp)              3:Nl (pol)           
       2.660000000000e+02       2.658584876303e-04       2.486640039533e-06 
       2.670000000000e+02       2.647770712682e-04       2.475819194770e-06 
       2.680000000000e+02       2.637034676019e-04       2.465091896621e-06 
       2.690000000000e+02       2.626375480710e-04       2.454456998018e-06 
       2.700000000000e+02       2.615792371299e-04       2.443913370159e-06 
       2.710000000000e+02       2.605284101043e-04       2.433459902149e-06 
       2.720000000000e+02       2.594850206089e-04       2.423095500649e-06 
       2.730000000000e+02       2.584489730256e-04       2.412819089540e-06 
       2.740000000000e+02       2.574201353521e-04       2.402629609584e-06 
       2.750000000000e+02       2.563772449546e-04       2.392526018102e-06 
       2.760000000000e+02       2.553627839992e-04       2.382507288655e-06 
       2.770000000000e+02       2.543553119922e-04       2.372572410732e-06 
       2.780000000000e+02       2.533547542069e-04       2.362720389446e-06 
       2.790000000000e+02       2.523404365437e-04       2.352950245238e-06 
       2.800000000000e+02       2.513535929546e-04       2.343261013589e-06 
       2.810000000000e+02       2.503734100685e-04       2.333651744728e-06 
       2.820000000000e+02       2.493797319321e-04       2.324121503365e-06 
       2.830000000000e+02       2.484127936619e-04       2.314669368411e-06 
       2.840000000000e+02       2.474325463915e-04       2.305294432719e-06 
       2.850000000000e+02       2.464785613423e-04       2.295995802822e-06 
       2.860000000000e+02       2.455114199610e-04       2.286772598676e-06 
       2.870000000000e+02       2.445700941704e-04       2.277623953419e-06 
       2.880000000000e+02       2.436157687727e-04       2.268549013123e-06 
       2.890000000000e+02       2.426678549329e-04       2.259546936559e-06 
       2.900000000000e+02       2.417451156534e-04       2.250616894962e-06 
       2.910000000000e+02       2.408096061164e-04       2.241758071809e-06 
       2.920000000000e+02       2.398802692183e-04       2.232969662592e-06 
       2.930000000000e+02       2.389570733326e-04       2.224250874602e-06 
       2.940000000000e+02       2.380582274303e-04       2.215600926716e-06 
       2.950000000000e+02       2.371469080658e-04       2.207019049192e-06 
       2.960000000000e+02       2.362415155365e-04       2.198504483459e-06 
       2.970000000000e+02       2.353419969343e-04       2.190056481922e-06 
       2.980000000000e+02       2.344483002178e-04       2.181674307768e-06 
       2.990000000000e+02       2.335603243060e-04       2.173357234769e-06 
       3.000000000000e+02       2.326780438594e-04       2.165104547101e-06 
       3.010000000000e+02       2.318014093565e-04       2.156915539158e-06 
       3.020000000000e+02       2.309303347272e-04       2.148789515371e-06 
       3.030000000000e+02       2.300647845021e-04       2.140725790037e-06 
       3.040000000000e+02       2.291877046008e-04       2.132723687142e-06 
       3.050000000000e+02       2.283331623352e-04       2.124782540197e-06 
       3.060000000000e+02       2.274839800762e-04       2.116901692069e-06 
       3.070000000000e+02       2.266400879892e-04       2.109080494824e-06 
       3.080000000000e+02       2.257849455045e-04       2.101318309563e-06 
       3.090000000000e+02       2.249516503087e-04       2.093614506272e-06 
       3.100000000000e+02       2.241072286847e-04       2.085968463668e-06 
       3.110000000000e+02       2.232843079109e-04       2.078379569052e-06 
       3.120000000000e+02       2.224664615708e-04       2.070847218158e-06 
       3.130000000000e+02       2.216376599027e-04       2.063370815017e-06 
       3.140000000000e+02       2.208140726293e-04       2.055949771813e-06 
       3.150000000000e+02       2.200113396347e-04       2.048583508747e-06 
       3.160000000000e+02       2.191978753365e-04       2.041271453901e-06 
       3.170000000000e+02       2.184049525374e-04       2.034013043110e-06 
       3.180000000000e+02       2.176014660892e-04       2.026807719827e-06 
       3.190000000000e+02       2.168028982757e-04       2.019654935004e-06 
       3.200000000000e+02       2.160092480131e-04       2.012554146960e-06 
       3.210000000000e+02       2.152204777874e-04       2.005504821265e-06 
       3.220000000000e+02       2.144514848124e-04       1.998506430618e-06 
       3.230000000000e+02       2.136722177277e-04       1.991558454732e-06 
       3.240000000000e+02       2.128976721012e-04       1.984660380215e-06 
       3.250000000000e+02       2.121278733931e-04       1.977811700466e-06 
       3.260000000000e+02       2.113626885092e-04       1.971011915554e-06 
       3.270000000000e+02       2.106021315036e-04       1.964260532118e-06 
       3.280000000000e+02       2.098461435002e-04       1.957557063259e-06 
       3.290000000000e+02       2.090804338058e-04       1.950901028434e-06 
       3.300000000000e+02       2.083335782593e-04       1.944291953354e-06 
       3.310000000000e+02       2.075912026811e-04       1.937729369886e-06 
       3.320000000000e+02       2.068532254420e-04       1.931212815955e-06 
       3.330000000000e+02       2.061057535336e-04       1.924741835446e-06 
       3.340000000000e+02       2.053766077424e-04       1.918315978107e-06 
       3.350000000000e+02       2.046517755713e-04       1.911934799464e-06 
       3.360000000000e+02       2.039176029676e-04       1.905597860722e-06 
       3.370000000000e+02       2.032013745978e-04       1.899304728680e-06 
       3.380000000000e+02       2.024759095391e-04       1.893054975640e-06 
       3.390000000000e+02       2.017681242904e-04       1.886848179327e-06 
       3.400000000000e+02       2.010512430817e-04       1.880683922799e-06 
       3.410000000000e+02       2.003517790119e-04       1.874561794365e-06 
       3.420000000000e+02       1.996432999053e-04       1.868481387505e-06 
       3.430000000000e+02       1.989390302973e-04       1.862442300791e-06 
       3.440000000000e+02       1.982518412879e-04       1.856444137806e-06 
       3.450000000000e+02       1.975557958692e-04       1.850486507070e-06 
       3.460000000000e+02       1.968638478782e-04       1.844569021962e-06 
       3.470000000000e+02       1.961759684695e-04       1.838691300646e-06 
       3.480000000000e+02       1.954921290347e-04       1.832852966000e-06 
       3.490000000000e+02       1.948122771966e-04       1.827053645543e-06 
       3.500000000000e+02       1.941364088393e-04       1.821292971365e-06 
       3.510000000000e+02       1.934644600869e-04       1.815570580059e-06 
       3.520000000000e+02       1.927964511947e-04       1.809886112652e-06 
       3.530000000000e+02       1.921322948138e-04       1.804239214539e-06 
       3.540000000000e+02       1.914719757077e-04       1.798629535417e-06 
       3.550000000000e+02       1.908155026953e-04       1.793056729223e-06 
       3.560000000000e+02       1.901508411185e-04       1.787520454069e-06 
       3.570000000000e+02       1.895019650067e-04       1.782020372178e-06 
       3.580000000000e+02       1.888568191253e-04       1.776556149829e-06 
       3.590000000000e+02       1.882036347716e-04       1.771127457292e-06 
       3.600000000000e+02       1.875659034203e-04       1.765733968772e-06 
       3.610000000000e+02       1.869202775710e-04       1.760375362351e-06 
       3.620000000000e+02       1.862898687323e-04       1.755051319928e-06 
       3.630000000000e+02       1.856630604922e-04       1.749761527170e-06 
       3.640000000000e+02       1.850284374834e-04       1.744505673451e-06 
       3.650000000000e+02       1.843974881847e-04       1.739283451799e-06 
       3.660000000000e+02       1.837814062542e-04       1.734094558849e-06 
       3.670000000000e+02       1.831576372608e-04       1.728938694782e-06 
       3.680000000000e+02       1.825374428568e-04       1.723815563281e-06 
       3.690000000000e+02       1.819208218391e-04       1.718724871480e-06 
       3.700000000000e+02       1.813186752857e-04       1.713666329908e-06 
       3.710000000000e+02       1.807090126240e-04       1.708639652451e-06 
       3.720000000000e+02       1.801028143191e-04       1.703644556295e-06 
       3.730000000000e+02       1.795000796949e-04       1.698680761884e-06 
       3.740000000000e+02       1.789007610343e-04       1.693747992875e-06 
       3.750000000000e+02       1.783048461277e-04       1.688845976086e-06 
       3.760000000000e+02       1.777122993430e-04       1.683974441460e-06 
       3.770000000000e+02       1.771125916881e-04       1.679133122016e-06 
       3.780000000000e+02       1.765267882826e-04       1.674321753805e-06 
       3.790000000000e+02       1.759442703692e-04       1.669540075873e-06 
       3.800000000000e+02       1.753650146284e-04       1.664787830212e-06 
       3.810000000000e+02       1.747787576061e-04       1.660064761727e-06 
       3.820000000000e+02       1.742060461622e-04       1.655370618189e-06 
       3.830000000000e+02       1.736365041092e-04       1.650705150199e-06 
       3.840000000000e+02       1.730601011587e-04       1.646068111148e-06 
       3.850000000000e+02       1.724969537005e-04       1.641459257178e-06 
       3.860000000000e+02       1.719269844220e-04       1.636878347146e-06 
       3.870000000000e+02       1.713701406223e-04       1.632325142584e-06 
       3.880000000000e+02       1.708065375670e-04       1.627799407668e-06 
       3.890000000000e+02       1.702461106551e-04       1.623300909173e-06 
       3.900000000000e+02       1.696985455886e-04       1.618829416448e-06 
       3.910000000000e+02       1.691443268981e-04       1.614384701373e-06 
       3.920000000000e+02       1.685932289691e-04       1.609966538330e-06 
       3.930000000000e+02       1.680451947582e-04       1.605574704166e-06 
