# DLM: Best estimate lensing noise spectra [l(l+1)/2pi] N_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:MV (DIAG)              3:TT-TT                  4:TE-TE                  5:EE-EE                  6:BB-BB                  7:EB-EB                  8:TB-TB              
   88       4.248840073813e-13       3.710787472169e-12       2.563005026082e-12       1.696743897595e-12                     -nan       9.969238235832e-13       9.853641991529e-12 
   89       4.162875955734e-13       3.633034079131e-12       2.518890520026e-12       1.665434477689e-12                     -nan       9.749187890128e-13       9.637084167459e-12 
   90       4.079890296266e-13       3.557968781639e-12       2.476375189791e-12       1.635234991764e-12                     -nan       9.536764570457e-13       9.428036565278e-12 
   91       3.999657360803e-13       3.485388274527e-12       2.435338743754e-12       1.606061547618e-12                     -nan       9.331393838274e-13       9.225933125719e-12 
   92       3.921899207363e-13       3.415042381355e-12       2.395632680982e-12       1.577810701274e-12                     -nan       9.132369597813e-13       9.030078058602e-12 
   93       3.846354444739e-13       3.346695812103e-12       2.357117384948e-12       1.550385181775e-12                     -nan       8.939027717588e-13       8.839816927053e-12 
   94       3.773000290981e-13       3.280327608267e-12       2.319781930930e-12       1.523776975465e-12                     -nan       8.751306711393e-13       8.655089135167e-12 
   95       3.701860701653e-13       3.215958814592e-12       2.283640555988e-12       1.497995532434e-12                     -nan       8.569263309719e-13       8.475950578209e-12 
   96       3.632937926311e-13       3.153591008458e-12       2.248695725054e-12       1.473042155381e-12                     -nan       8.392899668305e-13       8.302403376010e-12 
   97       3.566211656637e-13       3.093205537003e-12       2.214937666319e-12       1.448909678845e-12                     -nan       8.222161235096e-13       8.134393770957e-12 
   98       3.501638174571e-13       3.034762754252e-12       2.182343906618e-12       1.425582148426e-12                     -nan       8.056934617217e-13       7.971810025989e-12 
   99       3.439149500439e-13       2.978201258247e-12       2.150878806816e-12       1.403034500018e-12                     -nan       7.897045447938e-13       7.814480322590e-12 
  100       3.378652541087e-13       2.923437128175e-12       2.120493097194e-12       1.381232239036e-12                     -nan       7.742256253638e-13       7.662170658777e-12 
  101       3.320028238008e-13       2.870363161498e-12       2.091123412835e-12       1.360131119645e-12                     -nan       7.592264320774e-13       7.514582747099e-12 
  102       3.263130715479e-13       2.818848111080e-12       2.062691829013e-12       1.339676823985e-12                     -nan       7.446699562850e-13       7.371351912627e-12 
  103       3.207786428684e-13       2.768735922316e-12       2.035105396574e-12       1.319804641402e-12                     -nan       7.305122387380e-13       7.232044990948e-12 
  104       3.153835468129e-13       2.719882785930e-12       2.008278530668e-12       1.300454964492e-12                     -nan       7.167127616973e-13       7.096262735095e-12 
  105       3.101263662177e-13       2.672275639907e-12       1.982204622051e-12       1.281622852150e-12                     -nan       7.032676834665e-13       6.963967318656e-12 
  106       3.050086814587e-13       2.625928327753e-12       1.956893278287e-12       1.263314594922e-12                     -nan       6.901807166015e-13       6.835195360776e-12 
  107       3.000309757852e-13       2.580844869188e-12       1.932348123343e-12       1.245532350880e-12                     -nan       6.774528278114e-13       6.709956425812e-12 
  108       2.951925964589e-13       2.537019112826e-12       1.908566584114e-12       1.228273998656e-12                     -nan       6.650821411986e-13       6.588232069773e-12 
  109       2.904917158922e-13       2.494434388867e-12       1.885539676942e-12       1.211532990484e-12                     -nan       6.530638414982e-13       6.469974886770e-12 
  110       2.859252927874e-13       2.453063161775e-12       1.863251794142e-12       1.195298205237e-12                     -nan       6.413900773178e-13       6.355107555449e-12 
  111       2.814890332747e-13       2.412866682969e-12       1.841680490516e-12       1.179553801471e-12                     -nan       6.300498643772e-13       6.243521885445e-12 
  112       2.771773520516e-13       2.373794643507e-12       1.820796269884e-12       1.164279070456e-12                     -nan       6.190289887480e-13       6.135077863814e-12 
  113       2.729833335209e-13       2.335784826770e-12       1.800562371598e-12       1.149448289225e-12                     -nan       6.083099100931e-13       6.029602701483e-12 
  114       2.688986929299e-13       2.298762761150e-12       1.780934557070e-12       1.135030573603e-12                     -nan       5.978716649070e-13       5.926889879691e-12 
  115       2.649137375085e-13       2.262641372732e-12       1.761860896288e-12       1.120989731256e-12                     -nan       5.876897697546e-13       5.826698196431e-12 
  116       2.610196246191e-13       2.227341210775e-12       1.743294079007e-12       1.107292761832e-12                     -nan       5.777418775782e-13       5.728807505583e-12 
  117       2.572155307547e-13       2.192854656384e-12       1.725230502810e-12       1.093936844046e-12                     -nan       5.680257336637e-13       5.633195661110e-12 
  118       2.535022852372e-13       2.159188904535e-12       1.707675558655e-12       1.080925369019e-12                     -nan       5.585432312414e-13       5.539881395442e-12 
